,DNN,LSTM,GRU,dl_importance
event.code,0.111039646,0.0,0.0,0.03701321532328924
CallTrace,0.10155394,0.0,0.0,0.03385131309429804
CommandLine,0.08312762,0.0,0.0,0.027709205945332844
Company,0.101424344,0.0,0.0,0.03380811462799708
CurrentDirectory,0.08908262,0.0,0.0,0.02969420701265335
Description,0.08129149,0.0,0.0,0.027097163101037342
Details,0.08375261,0.0,0.0,0.027917536596457165
EventType,0.10561764,0.0,0.0,0.03520588080088297
GrantedAccess,0.102537,0.0,0.0,0.03417899956305822
Image,0.172334,0.0,0.0,0.057444666822751365
ImageLoaded,0.10352528,0.0,0.0,0.03450842698415121
IntegrityLevel,0.09547793,0.0,0.0,0.03182597706715266
IsExecutable,0.113587104,0.0,0.0,0.03786236792802811
OriginalFileName,0.08935272,0.0,0.0,0.02978423982858658
ParentCommandLine,0.07911419,0.0,0.0,0.026371397078037262
ParentImage,0.07272115,0.0,0.0,0.024240384499231975
ParentProcessGuid,0.08686834,0.0,0.0,0.028956112762292225
ParentProcessId,0.070742436,0.0,0.0,0.02358081191778183
ParentUser,0.07957144,0.0,0.0,0.026523813605308533
ProcessGuid,0.1828755,0.0,0.0,0.060958499709765114
Product,0.08059206,0.0,0.0,0.026864019532998402
RuleName,0.14687862,0.0,0.0,0.04895953834056854
Signature,0.13049872,0.0,0.0,0.043499574065208435
SignatureStatus,0.090678714,0.0,0.0,0.030226238071918488
Signed,0.08279691,0.0,0.0,0.027598969638347626
SourceThreadId,0.06784334,0.0,0.0,0.022614446779092152
SourceUser,0.08506749,0.0,0.0,0.028355829417705536
TargetImage,0.08516353,0.0,0.0,0.028387844562530518
TargetObject,0.093170665,0.0,0.0,0.03105688840150833
TargetProcessGUID,0.0855729,0.0,0.0,0.02852429946263631
TargetProcessId,0.08239577,0.0,0.0,0.0274652565519015
TargetUser,0.08674339,0.0,0.0,0.02891446401675542
TerminalSessionId,0.090714015,0.0,0.0,0.030238005022207897
User,0.13839908,0.0,0.0,0.046133026480674744
task,0.14103149,0.0,0.0,0.04701049625873566
